Buy,Age,Gender,Married,Children,Income,Ccard,Recent,Climate,Urban
0,71 ,0,1 ,1,486,1,1,17,1
1,53 ,0,1 ,3,620,2,0,20,0
0,53 ,1,1 ,0,694,5,1,18,1
0,45 ,1,0 ,0,582,3,1,15,1
1,32 ,1,0 ,0,419,5,0,16,1
0,35 ,1,0 ,0,523,2,0,16,1
0,43 ,1,0 ,0,689,4,0,5,1
0,39 ,0,0 ,0,624,2,0,17,1
0,66 ,0,0 ,0,562,5,0,12,1
0,,0,,0,665,2,0,14,1
0,52 ,0,1 ,3,708,4,2,15,1
0,29 ,1,0 ,0,518,4,0,18,0
0,48 ,1,0 ,0,835,1,0,15,1
0,67 ,0,0 ,0,587,4,0,7,0
1,44 ,0,1 ,1,641,4,1,18,0
0,59 ,1,1 ,0,689,2,1,12,1
1,47 ,0,1 ,0,731,3,0,21,1
0,49 ,1,1 ,1,614,4,0,17,1
0,36 ,0,0 ,0,636,2,0,16,1
1,23 ,1,1 ,0,460,2,0,19,0
0,58 ,0,1 ,2,691,2,1,13,1
0,50 ,0,1 ,0,566,5,0,17,1
0,39 ,0,0 ,0,542,5,1,15,1
0,63 ,0,1 ,0,695,5,0,15,1
0,47 ,0,1 ,2,541,4,0,10,1
1,55 ,1,1 ,3,426,2,1,16,1
0,45 ,0,0 ,0,581,6,1,14,1
0,49 ,1,1 ,1,777,0,1,20,1
0,48 ,1,0 ,0,535,3,2,19,0
0,54 ,1,1 ,1,594,4,0,19,1
1,42 ,1,0 ,0,772,3,0,10,1
0,46 ,0,1 ,1,561,4,0,11,1
0,60 ,1,1 ,0,399,1,1,17,1
0,43 ,1,1 ,3,503,2,0,12,1
1,56 ,1,1 ,0,710,6,1,15,1
0,39 ,0,0 ,0,731,2,0,18,1
0,49 ,0,1 ,1,739,6,1,9,1
0,43 ,0,1 ,2,596,4,0,12,1
0,,0,,0,692,8,0,10,1
0,37 ,1,0 ,0,448,4,1,11,1
0,48 ,0,1 ,0,574,3,0,16,1
0,41 ,1,0 ,0,585,2,0,16,0
0,39 ,0,0 ,0,673,2,0,18,1
0,37 ,0,1 ,0,520,4,0,14,1
0,42 ,0,1 ,1,409,2,2,14,1
1,43 ,0,1 ,1,799,0,1,18,0
0,39 ,0,0 ,0,740,4,0,15,1
0,34 ,1,0 ,0,681,4,0,13,0
0,,0,,0,660,4,0,10,1
1,41 ,1,1 ,3,893,0,0,15,1
1,32 ,1,0 ,0,594,2,0,15,1
0,59 ,0,1 ,4,523,4,0,16,1
0,38 ,0,0 ,0,551,4,0,14,1
0,,0,,0,440,2,1,13,1
1,48 ,1,1 ,2,703,3,1,13,0
0,36 ,0,0 ,0,432,0,1,16,0
1,38 ,0,0 ,0,788,2,0,12,1
0,32 ,0,0 ,0,424,6,2,14,1
0,42 ,1,1 ,2,639,6,0,19,1
1,43 ,0,1 ,1,624,3,0,17,1
0,41 ,0,1 ,0,594,3,0,18,0
0,41 ,0,1 ,1,548,1,1,10,1
1,59 ,0,1 ,0,618,2,0,12,1
0,66 ,0,1 ,0,650,3,0,16,1
0,36 ,0,1 ,0,690,4,0,18,1
0,49 ,1,0 ,0,750,1,0,4,1
0,33 ,0,0 ,0,594,3,0,14,1
1,41 ,0,1 ,2,530,2,1,10,0
0,23 ,0,1 ,2,683,3,0,20,1
0,35 ,0,0 ,0,687,3,2,21,0
0,42 ,0,0 ,0,362,3,0,20,0
0,48 ,0,1 ,1,638,3,0,15,1
0,43 ,0,1 ,1,677,5,0,14,1
1,56 ,1,1 ,1,593,2,1,20,1
0,27 ,1,1 ,2,523,3,1,15,1
0,38 ,0,0 ,0,522,2,0,18,1
0,58 ,0,0 ,0,973,3,1,7,0
0,43 ,1,0 ,0,711,2,0,17,1
1,50 ,0,1 ,1,543,3,1,21,1
0,68 ,0,1 ,2,738,0,0,18,1
0,31 ,0,0 ,0,634,1,0,18,0
0,19 ,0,0 ,0,545,3,1,16,1
0,52 ,0,1 ,1,604,2,0,14,1
1,34 ,1,1 ,1,629,3,2,19,1
0,48 ,1,0 ,0,801,6,2,9,1
1,,0,,0,801,3,0,19,0
0,27 ,0,0 ,0,612,6,0,9,1
0,34 ,0,1 ,1,559,2,0,14,1
0,60 ,0,0 ,0,646,4,0,16,0
0,49 ,1,1 ,1,712,6,0,19,1
0,52 ,0,1 ,2,573,2,0,9,1
0,41 ,1,0 ,0,577,2,0,19,1
0,34 ,0,0 ,0,559,3,1,11,1
0,54 ,0,0 ,0,634,1,0,14,0
1,35 ,0,0 ,0,505,2,1,16,1
1,64 ,0,1 ,1,596,2,0,15,1
0,43 ,0,1 ,2,813,6,0,16,1
0,59 ,0,1 ,1,752,3,0,15,0
0,52 ,0,1 ,2,606,4,0,11,1
0,71 ,1,0 ,0,556,2,0,17,1
1,46 ,1,1 ,2,598,4,0,14,1
0,47 ,0,0 ,0,511,2,0,10,1
0,50 ,0,1 ,1,538,2,1,14,1
0,50 ,1,1 ,1,817,1,0,19,1
0,36 ,1,0 ,0,561,5,1,14,1
0,40 ,1,1 ,4,528,3,1,16,1
0,33 ,0,0 ,0,726,3,0,13,1
1,49 ,0,1 ,2,406,4,0,17,1
1,43 ,1,1 ,1,517,3,1,14,1
0,43 ,1,1 ,2,617,2,2,13,0
0,51 ,0,1 ,1,573,6,0,11,1
1,48 ,1,1 ,1,624,5,1,18,0
0,56 ,0,1 ,0,705,4,0,21,1
0,45 ,0,1 ,1,544,3,0,9,1
1,28 ,0,0 ,0,536,3,1,17,0
0,44 ,0,1 ,0,574,6,0,15,1
1,44 ,1,1 ,0,607,4,0,12,0
0,38 ,0,0 ,0,679,5,0,14,1
0,42 ,1,0 ,0,547,2,0,14,1
1,57 ,1,1 ,2,637,2,1,13,1
1,60 ,0,1 ,2,709,3,1,12,0
0,27 ,0,0 ,0,503,3,0,20,0
1,47 ,0,1 ,0,839,1,0,17,1
0,47 ,0,1 ,1,534,6,0,19,1
1,48 ,1,0 ,0,568,4,1,12,1
0,,0,,0,557,5,1,19,1
0,42 ,1,1 ,2,559,3,0,15,1
0,44 ,0,1 ,1,602,7,1,20,0
0,45 ,1,1 ,2,548,3,0,10,1
0,28 ,0,0 ,0,690,4,1,22,1
0,53 ,1,0 ,0,621,2,0,18,0
1,18 ,0,0 ,0,758,1,0,20,1
1,26 ,0,1 ,1,539,3,1,13,1
0,44 ,0,1 ,0,674,2,0,13,1
0,35 ,0,0 ,0,567,6,0,17,1
0,52 ,0,1 ,1,440,3,0,16,0
1,44 ,0,1 ,1,681,6,1,10,0
0,33 ,0,0 ,0,530,3,0,10,1
0,,0,,0,401,3,0,12,0
0,55 ,0,1 ,2,392,3,0,15,1
0,42 ,0,1 ,2,582,5,2,19,0
0,39 ,1,0 ,0,504,3,0,15,1
1,21 ,1,1 ,1,516,1,0,15,1
0,31 ,1,0 ,0,566,4,0,19,1
0,31 ,0,0 ,0,526,3,0,22,1
1,42 ,1,1 ,1,702,1,0,15,1
0,61 ,0,1 ,2,579,1,0,12,1
0,61 ,0,0 ,0,711,6,0,13,0
0,49 ,0,1 ,0,388,2,0,16,1
1,20 ,1,0 ,0,627,1,0,17,1
1,40 ,1,1 ,3,741,5,1,11,1
0,63 ,1,1 ,1,543,3,0,20,0
0,41 ,0,1 ,1,450,1,1,13,0
0,51 ,0,1 ,4,325,4,0,22,1
0,46 ,0,0 ,0,629,2,0,12,1
0,33 ,1,0 ,0,640,1,1,13,0
0,39 ,1,0 ,0,661,4,0,16,1
0,50 ,1,1 ,1,770,6,0,19,1
0,47 ,1,1 ,2,466,2,1,15,1
1,40 ,0,1 ,2,733,3,0,12,1
0,56 ,0,1 ,2,690,5,0,13,1
0,47 ,0,0 ,0,686,2,0,23,1
0,42 ,0,1 ,1,570,1,0,13,1
0,46 ,0,1 ,0,744,7,0,14,0
0,44 ,0,0 ,0,544,3,0,18,1
0,45 ,0,1 ,1,666,4,0,13,1
0,46 ,1,1 ,1,451,3,0,7,0
0,48 ,0,1 ,1,752,4,1,10,1
0,41 ,1,0 ,0,464,2,0,15,1
0,,0,,0,754,2,0,25,0
0,28 ,1,1 ,1,564,2,0,21,1
1,50 ,0,1 ,3,743,5,0,17,1
0,47 ,0,1 ,4,677,3,0,16,1
0,39 ,0,0 ,0,514,2,0,17,1
0,39 ,0,0 ,0,543,3,0,15,0
0,49 ,1,1 ,1,499,1,1,16,1
0,44 ,0,0 ,0,454,3,0,6,0
0,51 ,0,1 ,2,581,4,2,4,1
1,29 ,1,0 ,0,568,2,0,16,1
1,29 ,1,1 ,3,743,5,1,10,1
0,51 ,1,1 ,1,631,5,0,16,1
0,45 ,1,1 ,1,509,3,0,9,1
0,34 ,0,0 ,0,593,3,1,16,1
0,33 ,0,0 ,0,552,2,0,14,1
1,42 ,0,1 ,2,569,2,0,17,1
0,51 ,1,1 ,0,625,3,0,19,0
0,45 ,0,0 ,0,673,6,0,4,1
0,41 ,0,1 ,2,722,4,1,18,1
0,54 ,0,1 ,1,515,2,0,16,1
0,38 ,0,0 ,0,456,3,1,14,1
1,39 ,0,1 ,2,547,9,0,16,1
0,62 ,0,0 ,0,547,3,0,19,0
0,46 ,1,1 ,2,611,2,0,14,1
0,51 ,0,0 ,0,570,0,0,16,1
0,20 ,1,0 ,0,640,1,0,14,1
0,52 ,1,1 ,2,707,1,1,11,1
1,32 ,1,0 ,0,682,1,0,11,1
1,51 ,1,1 ,1,578,1,0,25,1
0,33 ,0,1 ,2,540,4,0,15,1
0,,0,,0,639,6,0,14,0
1,30 ,0,0 ,0,723,0,0,13,1
0,55 ,1,1 ,1,518,4,0,8,1
0,40 ,0,1 ,1,586,2,0,12,1
0,38 ,0,0 ,0,705,0,0,14,1
0,42 ,1,1 ,1,461,2,2,17,0
0,42 ,0,0 ,0,640,2,1,17,1
0,55 ,0,1 ,3,579,4,1,11,1
0,49 ,0,0 ,0,553,6,0,12,1
0,63 ,0,1 ,2,522,5,0,15,0
0,45 ,0,1 ,1,685,0,0,13,1
0,19 ,0,0 ,0,521,3,0,14,1
0,48 ,0,1 ,1,538,3,0,19,1
1,42 ,1,1 ,2,502,5,0,9,1
0,41 ,0,1 ,2,653,2,0,13,1
1,49 ,1,1 ,2,666,6,0,18,0
0,71 ,0,1 ,1,666,7,0,15,0
0,44 ,0,0 ,0,637,1,0,13,1
0,32 ,1,1 ,3,692,3,0,12,1
0,34 ,1,0 ,0,446,3,0,16,1
0,38 ,0,0 ,0,603,3,0,9,0
0,47 ,0,1 ,0,629,0,0,16,1
1,37 ,1,1 ,2,492,2,0,12,1
1,46 ,0,1 ,1,431,2,0,15,1
0,65 ,0,1 ,2,587,6,0,13,1
0,44 ,0,1 ,1,640,3,2,14,1
0,54 ,1,1 ,4,624,1,0,8,1
0,43 ,0,1 ,1,645,4,0,12,1
0,38 ,0,0 ,0,538,4,0,13,0
1,47 ,1,1 ,2,695,4,1,16,1
1,27 ,1,0 ,0,377,2,2,8,1
1,41 ,1,1 ,1,469,1,1,15,1
0,68 ,0,0 ,0,535,1,0,3,1
0,27 ,1,0 ,0,636,4,0,16,1
0,44 ,0,0 ,0,543,2,0,15,1
0,54 ,0,1 ,2,556,5,0,22,1
0,31 ,0,0 ,0,681,1,0,13,1
0,47 ,1,1 ,2,612,4,1,15,1
1,54 ,1,1 ,1,543,2,0,13,1
0,38 ,0,0 ,0,514,9,0,11,0
0,52 ,0,1 ,1,661,6,0,15,1
0,32 ,0,0 ,0,678,2,0,23,1
1,31 ,1,0 ,0,720,5,0,10,1
0,42 ,1,0 ,0,566,5,0,17,1
0,69 ,1,1 ,1,820,4,0,15,0
0,36 ,0,0 ,0,496,3,0,13,0
0,51 ,0,0 ,0,591,1,0,13,1
0,44 ,0,1 ,2,704,6,0,21,0
0,,0,,0,495,4,0,15,1
1,41 ,0,1 ,1,613,1,0,11,1
0,27 ,1,1 ,1,691,4,0,19,0
1,44 ,0,1 ,3,514,2,0,10,0
0,48 ,1,1 ,0,508,1,2,14,1
0,46 ,0,1 ,1,694,4,0,17,1
0,25 ,0,1 ,2,472,6,0,11,1
1,49 ,1,1 ,1,545,2,0,18,1
0,41 ,1,1 ,3,672,6,0,12,0
0,47 ,1,1 ,0,548,3,0,9,1
0,32 ,1,0 ,0,604,4,0,19,1
0,40 ,0,1 ,0,694,5,0,10,0
0,59 ,1,1 ,1,508,5,0,13,1
0,52 ,1,1 ,0,418,6,1,27,0
0,31 ,1,1 ,1,552,0,1,11,0
0,55 ,0,1 ,1,516,0,2,11,1
0,55 ,0,1 ,0,399,5,1,11,1
0,51 ,0,1 ,2,665,4,0,15,1
0,55 ,0,1 ,0,648,6,0,15,1
0,57 ,0,0 ,0,393,1,0,15,1
0,35 ,1,0 ,0,676,1,1,10,1
1,35 ,0,0 ,0,660,2,2,15,1
0,28 ,1,0 ,0,642,2,0,10,1
0,54 ,0,1 ,2,661,3,0,20,1
0,56 ,1,1 ,2,682,4,1,15,1
0,71 ,0,1 ,0,611,4,0,16,0
0,23 ,0,0 ,0,318,3,0,10,1
0,55 ,0,1 ,1,619,3,0,18,1
1,43 ,1,1 ,1,510,1,1,16,1
0,33 ,0,0 ,0,414,3,0,22,0
1,51 ,1,1 ,1,437,2,1,14,0
0,25 ,0,0 ,0,616,3,0,18,1
0,32 ,0,0 ,0,581,0,0,9,0
0,56 ,0,0 ,0,591,2,1,21,1
0,45 ,1,1 ,1,653,4,0,11,0
0,54 ,1,0 ,0,545,6,0,15,1
0,45 ,1,1 ,1,601,1,0,9,1
0,41 ,1,1 ,1,448,2,0,7,1
0,39 ,0,0 ,0,526,3,0,17,0
0,41 ,1,1 ,3,440,4,2,14,1
0,40 ,0,1 ,1,534,1,0,15,1
0,66 ,1,1 ,0,573,7,1,17,1
0,57 ,1,0 ,0,460,3,1,18,1
0,40 ,0,0 ,0,657,2,0,19,1
1,60 ,1,1 ,2,571,2,0,14,1
0,49 ,0,0 ,0,504,2,0,14,1
0,45 ,0,0 ,0,541,3,0,10,1
0,52 ,0,1 ,1,439,2,0,18,1
0,57 ,0,0 ,0,541,0,0,10,1
0,63 ,1,1 ,1,771,2,0,15,0
0,42 ,1,1 ,3,733,1,1,9,0
0,37 ,0,0 ,0,519,1,0,18,1
1,61 ,0,1 ,2,589,5,1,21,1
0,38 ,0,0 ,0,632,4,0,21,0
1,44 ,0,1 ,1,540,3,1,11,1
0,40 ,0,1 ,0,620,5,0,16,1
0,62 ,1,1 ,2,587,2,1,17,1
1,44 ,1,0 ,0,612,4,0,11,1
0,39 ,0,0 ,0,644,1,0,13,1
0,36 ,1,1 ,2,703,0,1,14,0
0,50 ,1,1 ,1,855,2,0,19,1
1,56 ,1,1 ,0,609,3,0,12,1
0,38 ,0,0 ,0,484,4,0,10,0
0,42 ,1,0 ,0,638,3,0,16,1
0,36 ,1,0 ,0,648,3,0,18,1
0,51 ,0,1 ,2,656,5,2,13,1
0,27 ,1,1 ,2,633,7,0,18,1
0,49 ,1,1 ,2,783,0,0,18,1
0,46 ,1,1 ,1,540,0,1,19,0
1,40 ,0,1 ,2,667,5,0,15,1
0,45 ,0,1 ,2,498,6,0,17,1
0,34 ,1,0 ,0,660,3,0,11,1
0,50 ,1,0 ,0,587,4,0,17,1
1,53 ,0,1 ,1,619,4,2,17,0
0,41 ,1,1 ,0,465,3,1,22,0
0,18 ,0,0 ,0,652,1,0,14,1
1,19 ,0,0 ,0,565,3,0,13,1
0,43 ,0,0 ,0,550,1,0,19,1
0,47 ,0,1 ,2,700,3,0,16,0
0,72 ,1,1 ,1,684,3,0,15,1
0,34 ,1,0 ,0,828,0,0,18,0
1,,0,,0,492,6,1,11,1
0,39 ,0,0 ,0,526,4,1,11,1
0,47 ,0,0 ,0,452,2,0,16,1
0,45 ,1,1 ,3,508,2,0,21,1
0,39 ,0,0 ,0,571,2,0,10,1
0,38 ,1,0 ,0,566,4,0,14,1
0,40 ,1,0 ,0,382,4,0,17,0
0,47 ,1,0 ,0,805,6,0,22,1
0,63 ,1,1 ,1,616,8,0,12,1
0,25 ,1,1 ,1,369,2,0,14,1
0,37 ,1,0 ,0,602,1,0,19,1
0,38 ,1,0 ,0,512,3,0,12,0
0,51 ,0,0 ,0,631,3,1,16,1
0,53 ,1,1 ,1,603,7,1,19,1
1,51 ,0,1 ,2,763,4,1,12,0
0,56 ,0,0 ,0,653,7,0,17,1
0,50 ,0,1 ,1,503,3,0,14,1
0,53 ,0,0 ,0,594,2,0,15,1
0,41 ,0,1 ,1,594,1,0,13,1
1,42 ,1,1 ,2,594,10,0,13,1
1,43 ,0,1 ,2,662,5,0,18,1
0,42 ,0,1 ,2,692,3,1,18,1
1,46 ,1,1 ,1,581,0,0,11,1
1,42 ,1,1 ,1,453,3,1,17,1
1,56 ,1,1 ,2,709,5,0,12,1
0,68 ,0,0 ,0,412,2,0,17,1
0,39 ,1,0 ,0,400,3,1,20,0
0,66 ,0,0 ,0,350,4,0,17,0
0,48 ,1,1 ,3,577,4,0,17,1
0,53 ,1,1 ,0,581,2,0,26,1
0,37 ,0,0 ,0,642,5,0,9,1
1,50 ,0,1 ,1,570,3,0,14,1
0,40 ,0,1 ,3,660,4,0,20,1
0,40 ,0,1 ,2,471,5,0,20,1
0,45 ,1,1 ,1,575,5,1,14,0
0,36 ,0,0 ,0,598,5,0,19,1
0,43 ,0,1 ,2,440,3,0,16,1
0,47 ,1,1 ,2,433,2,0,13,1
0,73 ,0,1 ,1,558,4,0,14,1
0,49 ,0,0 ,0,635,3,0,13,1
1,38 ,0,0 ,0,633,3,0,13,1
0,54 ,0,1 ,2,505,5,0,16,1
0,47 ,1,1 ,2,772,3,0,10,1
0,46 ,1,1 ,2,722,5,0,16,1
0,26 ,1,0 ,0,653,1,0,11,0
0,34 ,0,0 ,0,653,3,0,17,0
0,45 ,0,0 ,0,415,3,0,17,1
0,56 ,0,1 ,1,549,5,1,8,1
1,52 ,1,1 ,2,585,4,1,17,1
0,55 ,1,1 ,0,841,4,0,18,1
0,40 ,0,1 ,3,551,4,0,14,1
0,38 ,0,0 ,0,760,5,0,16,0
0,34 ,0,0 ,0,861,3,0,12,1
0,47 ,0,0 ,0,556,4,0,18,0
0,,0,,0,600,1,0,19,1
0,,0,,0,672,5,0,17,1
0,47 ,0,1 ,1,529,3,0,14,1
0,52 ,0,0 ,0,599,1,0,10,0
0,52 ,1,1 ,1,495,2,0,11,0
0,33 ,1,0 ,0,694,6,1,13,1
1,47 ,1,1 ,2,753,1,1,9,1
0,32 ,0,0 ,0,501,5,0,10,0
1,35 ,0,0 ,0,641,2,3,19,1
0,31 ,0,0 ,0,641,4,0,18,1
0,34 ,1,1 ,4,735,4,0,19,0
1,28 ,1,0 ,0,493,4,0,14,1
0,41 ,1,1 ,0,500,3,0,13,1
0,30 ,0,1 ,1,647,3,0,15,0
0,36 ,1,0 ,0,590,4,0,21,1
0,45 ,0,0 ,0,370,2,0,19,1
0,37 ,1,0 ,0,579,1,1,20,0
1,49 ,0,1 ,2,489,4,0,14,0
0,45 ,1,1 ,1,648,3,0,17,1
0,38 ,0,0 ,0,352,3,0,12,0
1,56 ,1,1 ,1,608,3,0,20,1
0,48 ,1,1 ,0,430,4,0,11,1
1,41 ,1,1 ,2,495,2,0,15,1
0,36 ,0,0 ,0,493,2,0,10,0
