y,loan,mortgage,job,workyear,delinquency,period,inquire,transact,DTI
1,1300,70053,Other,7,2,121.83,0,14,48.2
1,1500,13500,Other,4,0,149.47,1,10,40.86
1,1500,78553,Other,10,1,107.81,2,25,39.6
0,1700,97800,Office,3,0,93.33,0,14,48.65
1,1700,30548,Other,9,0,101.47,1,8,37.11
1,2000,20627,Office,11,1,122.53,1,9,35.11
1,2000,45000,Other,3,0,86.07,2,25,35.15
0,2000,64536,Mgr,2,0,147.13,0,24,45.94
1,2100,71000,Other,8,1,123,0,16,32.84
1,2200,24280,Other,8,1,300.87,0,8,36.41
1,2200,90957,Mgr,7,6,122.9,1,22,38.29
1,2200,23030,Other,19,1,209.89,2,23,3.71
1,2300,28192,Other,4,0,54.6,1,16,32.91
0,2300,102370,Office,2,0,90.99,0,13,31.59
1,2300,37626,Other,3,1,122.27,1,14,42.16
1,2400,50000,ProfExe,5,0,121.1,1,0,29.96
1,2400,28000,Mgr,12,0,67.2,2,22,32.82
1,2400,18000,Mgr,22,2,121.73,0,10,43.87
1,2400,75639,Other,8,0,14.57,3,4,47.64
1,2400,34863,Mgr,12,0,70.49,1,21,38.26
0,2400,98449,Office,4,0,93.81,0,13,29.68
1,2500,15000,Other,18,0,136.07,1,19,35.76
1,2500,25116,Other,10,2,276.97,0,9,43.08
0,2500,7229,Self,10,0,208,0,12,20.93
0,2500,71408,ProfExe,8,0,255.73,0,12,36.14
1,2800,50795,Self,26,15,145.63,3,45,40.65
1,2800,4000,Other,16,0,112.63,2,9,44.48
1,2900,78600,ProfExe,6,0,165.33,2,26,44.7
0,2900,103949,Office,1,0,96.1,0,13,30.05
0,2900,104373,Office,2,0,101.54,0,13,29.92
1,2900,7750,Other,16,0,122.2,2,8,36.21
1,2900,61962,Mgr,2,0,282.8,3,37,49.21
0,3000,104570,Office,2,0,85.88,0,14,32.06
1,3000,7000,Other,3,0,50.8,5,9,39.54
1,3000,71012,Other,2,1,77.77,0,3,37.08
1,3000,71587,Other,1,1,23.3,1,2,47.53
1,3000,119826,Other,8,0,130.03,0,27,34.29
1,3000,20000,Other,2,0,187.07,0,12,44.39
1,3000,89343,Other,3,0,9.3,14,2,34.59
1,3000,70882,Other,1,0,104.2,0,19,40.56
1,3000,47000,ProfExe,10,1,262.17,5,26,46.08
1,3000,34542,Mgr,8,2,62.37,0,10,37.17
0,3000,58000,Mgr,10,2,211.93,0,25,51.94
0,3000,47000,Office,21,0,201.87,0,20,29.43
1,3100,39589,Other,2,0,153.17,1,14,40.75
0,3100,87639,Other,8,0,184.19,1,21,32.97
0,3200,67848,Mgr,10,1,206.43,0,25,40.12
1,3200,48603,ProfExe,28,4,122.03,1,25,52.55
1,3200,27200,Other,6,0,298.13,0,7,35.55
1,3200,54000,Other,1,0,121.87,3,21,41.74
0,3200,74864,ProfExe,7,0,250.63,0,12,42.91
1,3200,23159,Mgr,20,2,117.81,0,9,0.52
1,3300,126541,Sales,9,0,139,0,36,27.88
1,3300,130518,Other,9,6,192.29,0,33,35.73
1,3400,37000,Office,2,1,183.3,0,6,42.48
1,3500,23200,Other,11,0,162.37,0,14,42.09
1,3500,19400,Other,5,0,95.93,0,9,39.66
1,3600,61584,ProfExe,10,1,134.07,2,21,38.74
1,3600,41900,Mgr,3,0,72.03,2,4,47.78
0,3600,83700,ProfExe,6,0,192.73,1,28,24.23
0,3600,61327,Mgr,9,2,202.51,0,25,41.52
0,3600,100693,Office,6,0,88.47,0,14,29.39
1,3600,48507,Office,13,4,97.4,0,17,40.25
0,3600,52337,Office,20,0,204.27,0,20,20.47
1,3700,17857,Other,5,0,129.72,1,9,26.63
1,3800,19135,Mgr,2,6,252.63,1,25,42.6
0,3800,51180,Office,20,0,203.75,0,20,20.07
0,3800,72928,Other,7,0,225.21,1,24,22.25
