x1,x2,y
1.76405,-0.37,1.0
0.40016,-0.24,0.0
0.97874,1.1,1.0
2.24089,0.66,1.0
1.86756,0.64,1.0
-0.97728,-1.62,0.0
0.95009,-0.02,1.0
-0.15136,-0.74,0.0
-0.10322,0.28,1.0
0.4106,-0.1,0.0
0.14404,0.91,1.0
1.45427,0.32,1.0
0.76104,0.79,1.0
0.12168,-0.47,0.0
0.44386,-0.94,1.0
0.33367,-0.41,1.0
1.49408,-0.02,1.0
-0.20516,0.38,1.0
0.31307,2.26,1.0
-0.8541,-0.04,0.0
-2.55299,-0.96,0.0
0.65362,-0.35,1.0
0.86444,-0.46,0.0
-0.74217,0.48,0.0
2.26975,-1.54,1.0
-1.45437,0.06,0.0
0.04576,0.16,1.0
-0.18718,0.23,0.0
1.53278,-0.6,1.0
1.46936,-0.24,1.0
0.15495,-1.42,0.0
0.37816,-0.49,0.0
-0.88779,-0.54,0.0
-1.9808,0.42,0.0
-0.34791,-1.16,0.0
0.15635,0.78,1.0
1.23029,1.49,1.0
1.20238,-2.07,1.0
-0.38733,0.43,1.0
-0.3023,0.68,1.0
-1.04855,-0.64,0.0
-1.42002,-0.4,0.0
-1.70627,-0.13,0.0
1.95078,-0.3,1.0
-0.50965,-0.31,0.0
-0.43807,-1.68,0.0
-1.2528,1.15,1.0
0.77749,1.08,1.0
-1.6139,-0.81,0.0
-0.21274,-1.47,0.0
-0.89547,0.52,0.0
0.3869,-0.58,1.0
-0.51081,0.14,0.0
-1.18063,-0.32,0.0
-0.02818,0.69,1.0
0.42833,0.69,1.0
0.06652,-0.73,0.0
0.30247,-1.38,0.0
-0.63432,-1.58,0.0
-0.36274,0.61,1.0
-0.67246,-1.19,0.0
-0.35955,-0.51,0.0
-0.81315,-0.6,0.0
-1.72628,-0.05,0.0
0.17743,-1.94,0.0
-0.40178,0.19,1.0
-1.6302,0.52,0.0
0.46278,0.09,1.0
-0.9073,-0.31,0.0
0.05195,0.1,1.0
0.72909,0.4,0.0
0.12898,-2.77,0.0
1.1394,1.96,1.0
-1.23483,0.39,0.0
0.40234,-0.65,1.0
-0.68481,-0.39,0.0
-0.8708,0.49,1.0
-0.57885,-0.12,0.0
-0.31155,-2.03,0.0
0.05617,2.06,1.0
-1.16515,-0.11,0.0
0.90083,1.02,1.0
0.46566,-0.69,0.0
-1.53624,1.54,1.0
1.48825,0.29,1.0
1.89589,0.61,1.0
1.17878,-1.05,1.0
-0.17992,1.21,1.0
-1.07075,0.69,0.0
1.05445,1.3,1.0
-0.40318,-0.63,0.0
1.22245,-0.48,1.0
0.20827,2.3,1.0
0.97664,-1.06,1.0
0.35637,-0.14,1.0
0.70657,1.14,1.0
0.0105,0.1,0.0
1.78587,0.58,1.0
0.12691,-0.4,0.0
0.40199,0.37,1.0
1.88315,-1.31,1.0
-1.34776,1.66,1.0
-1.27048,-0.12,0.0
0.9694,-0.68,1.0
-1.17312,0.67,0.0
1.94362,-0.46,1.0
-0.41362,-1.33,0.0
-0.74745,-1.35,0.0
1.92294,0.69,1.0
1.48051,-0.16,1.0
1.86756,-0.13,1.0
0.90604,1.08,1.0
-0.86123,-1.13,0.0
1.91006,-0.73,1.0
-0.268,-0.38,0.0
0.80246,0.09,1.0
0.94725,-0.04,1.0
-0.15501,-0.29,1.0
0.61408,-0.06,1.0
0.92221,-0.11,1.0
0.37643,-0.72,0.0
-1.0994,-0.81,0.0
0.29824,0.27,0.0
1.32639,-0.89,1.0
-0.69457,-1.16,0.0
-0.14963,-0.31,0.0
-0.43515,-0.16,0.0
1.84926,2.26,1.0
0.67229,-0.7,0.0
0.40746,0.94,1.0
-0.76992,0.75,0.0
0.53925,-1.19,0.0
-0.67433,0.77,1.0
0.03183,-1.18,0.0
-0.63585,-2.66,0.0
0.67643,0.61,1.0
0.57659,-1.76,0.0
-0.2083,0.45,1.0
0.39601,-0.68,0.0
-1.09306,1.66,1.0
-1.49126,1.07,1.0
0.43939,-0.45,0.0
0.16667,-0.69,0.0
0.63503,-1.21,1.0
2.38314,-0.44,1.0
0.94448,-0.28,1.0
-0.91282,-0.36,0.0
1.11702,0.16,0.0
-1.31591,0.58,1.0
-0.46158,0.35,0.0
-0.06824,-0.76,0.0
1.71334,-1.44,1.0
-0.74475,1.36,1.0
-0.82644,-0.69,0.0
-0.09845,-0.65,0.0
-0.66348,-0.52,0.0
1.12664,-1.84,0.0
-1.07993,-0.48,0.0
-1.14747,-0.48,0.0
-0.43782,0.62,0.0
-0.49803,0.7,1.0
1.92953,0.0,1.0
0.94942,0.93,1.0
0.08755,0.34,0.0
-1.22544,-0.02,0.0
0.84436,0.16,1.0
-1.00022,-0.19,0.0
-1.54477,-0.39,0.0
1.18803,-0.27,1.0
0.31694,-1.13,0.0
0.92086,0.28,1.0
0.31873,-0.99,0.0
0.85683,0.84,1.0
-0.65103,-0.25,0.0
-1.03424,0.05,0.0
0.68159,0.49,1.0
